GlobalCorp_001,Milan Aviaenergy
GlobalCorp_002,Gulf Healthmarket
GlobalCorp_003,German Infohealth
GlobalCorp_004,(ltd.) Move Motors
GlobalCorp_005,British Marketholding
GlobalCorp_006,Terraventure (ltd.)
GlobalCorp_007,(ltd.) Infomarket
GlobalCorp_008,(plc) Motors Motor
GlobalCorp_009,London Tech Dynamics
GlobalCorp_010,(llc) Solutions Quality
GlobalCorp_011,(llc) Public Industries
GlobalCorp_012,Arabian Core Markets
GlobalCorp_013,Healthlogitic Us-
GlobalCorp_014,(bsc) Industries Ez
GlobalCorp_015,Manama Heavy Ventures
GlobalCorp_016,(bsc) Logistics Space
GlobalCorp_017,(plc) Genlogitic
GlobalCorp_018,Britannia Capital Code
GlobalCorp_019,Transsolution Arabian
GlobalCorp_020,Shopcorp (llc)
GlobalCorp_021,Voltmotor British
GlobalCorp_022,Spectrasolution (ksc)
GlobalCorp_023,(ltd.) Velocity Systems
GlobalCorp_024,Pentalogitic (ltd.)
GlobalCorp_025,Qualityholding Pearl
GlobalCorp_026,Arabian Griddynamic
GlobalCorp_027,Emirates Nexus Enterprises
GlobalCorp_028,(plc) Capital Gene
GlobalCorp_029,Omani Systems Shop
GlobalCorp_030,Uk Globalholding
GlobalCorp_031,British Orbit Logistics
GlobalCorp_032,Riyadh Pharmatechnologie
GlobalCorp_033,British Logic Motors
GlobalCorp_034,Flowenterprie British
GlobalCorp_035,(ltd.) Shoplogitic
GlobalCorp_036,Global Sun Technologies
GlobalCorp_037,Playlogitic American
GlobalCorp_038,Apexholding (spa)
GlobalCorp_039,Madrid Solutions Penta
GlobalCorp_040,Choicemotor (bsc)
GlobalCorp_041,Arabian Technologies Metro
GlobalCorp_042,Nexusgroup Jeddah
GlobalCorp_043,(sa) Pharma Technologies
GlobalCorp_044,Britannia Ez Energy
GlobalCorp_045,Gulf Motors Core
GlobalCorp_046,Britannia Aero Markets
GlobalCorp_047,Britannia Solutions Vitae
GlobalCorp_048,Quantumsytem Muscat
GlobalCorp_049,(plc) Cargologitic
GlobalCorp_050,Euro Goods Corp
GlobalCorp_051,Britannia Markets Gas
GlobalCorp_052,Spectrasolution (nv)
GlobalCorp_053,Uk Energy Evo
GlobalCorp_054,Techgroup (gmbh)
GlobalCorp_055,Puretechnologie Holland
GlobalCorp_056,Aquagroup Omani
GlobalCorp_057,(qfc) Servegroup
GlobalCorp_058,(plc) Novamarket
GlobalCorp_059,Italian Primelogitic
GlobalCorp_060,Globallogitic Kuwaiti
GlobalCorp_061,Milan Skysolution
GlobalCorp_062,Ad Gendata
GlobalCorp_063,Madrid Sys Systems
GlobalCorp_064,(llc) Flow Capital
GlobalCorp_065,Euro Technologies Market
GlobalCorp_066,Britannia Data Gas
GlobalCorp_067,(sa) Buzzenterprie
GlobalCorp_068,Jeddah Industries Shift
