Company,Industry,Country
Milan Aviaenergy,Aerospace,Qatar
Gulf Healthmarket,Biotech,USA
German Infohealth,Software,Kuwait
(ltd.) Move Motors,Logistics,France
British Marketholding,Retail,Oman
Terraventure (ltd.),Energy,UK
(ltd.) Infomarket,Media,UK
(plc) Motors Motor,Automotive,UK
London Tech Dynamics,Tech,Qatar
(llc) Solutions Quality,Consumer Goods,Germany
(llc) Public Industries,Utilities,Qatar
Arabian Core Markets,Services,France
Healthlogitic Us-,Pharma,Bahrain
(bsc) Industries Ez,E-commerce,Netherlands
Manama Heavy Ventures,Industrial,USA
(bsc) Logistics Space,Aerospace,UK
(plc) Genlogitic,Biotech,USA
Britannia Capital Code,Software,UK
Transsolution Arabian,Logistics,UK
Shopcorp (llc),Retail,Bahrain
Spectrasolution (ksc),Media,UK
(ltd.) Velocity Systems,Automotive,Italy
Pentalogitic (ltd.),Tech,UK
Qualityholding Pearl,Consumer Goods,UK
Arabian Griddynamic,Utilities,Netherlands
Emirates Nexus Enterprises,Services,UK
(plc) Capital Gene,Pharma,UK
Omani Systems Shop,E-commerce,Ireland
Uk Globalholding,Industrial,Oman
British Orbit Logistics,Aerospace,Kuwait
British Logic Motors,Software,Bahrain
Flowenterprie British,Logistics,UK
(ltd.) Shoplogitic,Retail,USA
Global Sun Technologies,Energy,Germany
Playlogitic American,Media,UAE
Apexholding (spa),Automotive,Saudi Arabia
Madrid Solutions Penta,Tech,Qatar
Choicemotor (bsc),Consumer Goods,UK
Arabian Technologies Metro,Utilities,Oman
Nexusgroup Jeddah,Services,Spain
(sa) Pharma Technologies,Pharma,UK
Britannia Ez Energy,E-commerce,UK
Gulf Motors Core,Industrial,Qatar
Britannia Aero Markets,Aerospace,USA
Britannia Solutions Vitae,Biotech,Ireland
Quantumsytem Muscat,Software,Netherlands
(plc) Cargologitic,Logistics,Saudi Arabia
Euro Goods Corp,Retail,UK
Spectrasolution (nv),Media,Qatar
Uk Energy Evo,Automotive,USA
Techgroup (gmbh),Tech,UK
Puretechnologie Holland,Consumer Goods,Bahrain
Aquagroup Omani,Utilities,UK
(qfc) Servegroup,Services,Germany
(plc) Novamarket,Pharma,Saudi Arabia
Italian Primelogitic,E-commerce,USA
Globallogitic Kuwaiti,Industrial,Qatar
Milan Skysolution,Aerospace,Italy
Ad Gendata,Biotech,Bahrain
Madrid Sys Systems,Software,UK
(llc) Flow Capital,Logistics,Kuwait
Euro Technologies Market,Retail,USA
Britannia Data Gas,Energy,USA
(sa) Buzzenterprie,Media,Bahrain
Jeddah Industries Shift,Automotive,UAE
Cyberdynamic Uk,Tech,Oman
Gulf Choicelab,Consumer Goods,Qatar
Muscat Metrologitic,Utilities,Germany
Arabian Systems Apex,Services,UK
Healthdata Irish,Pharma,France
Muscat Markets Click,E-commerce,UK
