Company,Month,Revenue,COGS,Gross_Profit,Gross_Margin_%,SG&A,R&D,Operating_Income_(EBIT),Interest_Expense,Tax_Expense,Net_Income,Assets,Debt,Equity,ROE_%,ROA_%,Debt/EBITDA,Debt/Equity
Milan Aviaenergy,2022-01-31,1419616,831571,588045,41.42,249431,140348,198265,92301,43618,62345,7613298,4542710,3070587,2.03,0.82,22.91,1.48
Milan Aviaenergy,2022-02-28,1456670,864444,592225,40.66,249345,158758,184122,88649,40506,54965,7579037,4581498,2997539,1.83,0.73,24.88,1.53
Milan Aviaenergy,2022-03-31,1375857,820388,555468,40.37,223752,139356,192359,92703,42319,57337,7544842,4596085,2948757,1.94,0.76,23.89,1.56
Milan Aviaenergy,2022-04-30,1444783,861533,583249,40.37,248790,152502,181956,94148,40030,47777,7544162,4541074,3003088,1.59,0.63,24.95,1.51
Milan Aviaenergy,2022-05-31,1440475,858981,581493,40.37,245268,145260,190964,95925,42012,53027,7624331,4576581,3047750,1.74,0.7,23.96,1.5
Milan Aviaenergy,2022-06-30,1396444,835372,561071,40.18,233571,124000,203499,90899,44769,67830,7586818,4562912,3023906,2.24,0.89,22.42,1.51
Milan Aviaenergy,2022-07-31,1415791,864511,551280,38.94,225709,156742,168828,92151,37142,39533,7576387,4522246,3054141,1.29,0.52,26.79,1.48
Milan Aviaenergy,2022-08-31,1474911,869698,605213,41.03,236279,153838,215095,89708,47320,78066,7580428,4513307,3067121,2.55,1.03,20.98,1.47
Milan Aviaenergy,2022-09-30,1487343,884304,603038,40.54,252048,145792,205198,93178,45143,66876,7633623,4574655,3058967,2.19,0.88,22.29,1.5
Milan Aviaenergy,2022-10-31,1447965,866782,581182,40.14,238390,141903,200888,93670,44195,63022,7602503,4606774,2995729,2.1,0.83,22.93,1.54
Milan Aviaenergy,2022-11-30,1566082,952252,613830,39.2,262857,166986,183985,87117,40476,56391,7566784,4532025,3034759,1.86,0.75,24.63,1.49
Milan Aviaenergy,2022-12-31,1516919,909780,607139,40.02,251492,140579,215067,92560,47314,75191,7599268,4492816,3106452,2.42,0.99,20.89,1.45
Milan Aviaenergy,2023-01-31,1377352,823186,554165,40.23,232778,135697,185690,92590,40851,52247,7641619,4538015,3103603,1.68,0.68,24.44,1.46
Milan Aviaenergy,2023-02-28,1394855,830617,564237,40.45,231535,133538,199163,98455,43815,56892,7659458,4614070,3045387,1.87,0.74,23.16,1.52
Milan Aviaenergy,2023-03-31,1433966,870481,563484,39.3,244996,138138,180349,84784,39676,55888,7485945,4456349,3029596,1.84,0.75,24.71,1.47
Milan Aviaenergy,2023-04-30,1376163,833743,542420,39.42,243664,141065,157689,92063,34691,30934,7573337,4530541,3042795,1.02,0.41,28.73,1.49
